INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: None.
DEBUG:root:Epoch: 56	Loss: 0.40637749433517456	Best ACC: 86.328125	 10 Best Acc: 100.0
DEBUG:root:Epoch: 57	Loss: 0.32229313254356384	Best ACC: 86.71875	 10 Best Acc: 100.0
DEBUG:root:Epoch: 58	Loss: 0.3801056742668152	Best ACC: 85.546875	 10 Best Acc: 100.0
DEBUG:root:Epoch: 59	Loss: 0.2722286581993103	Best ACC: 90.234375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 60	Loss: 0.3839123547077179	Best ACC: 87.109375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 61	Loss: 0.39068514108657837	Best ACC: 90.234375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 62	Loss: 0.44503670930862427	Best ACC: 89.453125	 10 Best Acc: 100.0
DEBUG:root:Epoch: 63	Loss: 0.3426842987537384	Best ACC: 85.9375	 10 Best Acc: 100.0
DEBUG:root:Epoch: 64	Loss: 0.3985850512981415	Best ACC: 87.5	 10 Best Acc: 100.0
DEBUG:root:Epoch: 65	Loss: 0.34049278497695923	Best ACC: 88.671875	 10 Best Acc: 100.0
DEBUG:root:Epoch: 66	Loss: 0.30903542041778564	Best ACC: 87.5	 10 Best Acc: 100.0
DEBUG:root:Epoch: 67	Loss: 0.31253987550735474	Best ACC: 89.84375	 10 Best Acc: 100.0
